ProductNo,category,sub_category,product,brand,market_price,rating
,"Foodgrains, Oil & Masala",Organic Staples,,Organic Tattva,,4.1
,"Kitchen, Garden & Pets",Cookware & Non Stick,,Hawkins,,2.8
,Gourmet & World Food,"Pasta, Soup & Noodles",,Peacock ,,4.4
,Beauty & Hygiene,Men's Grooming,,USTRAA,,4.3
,Cleaning & Household,Fresheners & Repellents,,Odonil ,,3.8
,"Foodgrains, Oil & Masala",Dals & Pulses,,bb Popular,,
,Beauty & Hygiene,Fragrances & Deos,,Set Wet,,3.9
,Cleaning & Household,Fresheners & Repellents,,Ambipur,,3.7
,Beauty & Hygiene,Fragrances & Deos,,Police,,
,Beauty & Hygiene,Health & Medicine,,Amrutanjan,,4.3
,Beauty & Hygiene,Mothers & Maternity,,Bella,,4
,Gourmet & World Food,"Pasta, Soup & Noodles",,NutraHi,,4
,Beauty & Hygiene,Health & Medicine,,Dabur,,
,"Kitchen, Garden & Pets",Crockery & Cutlery,,Hot Muggs,,5
,Snacks & Branded Foods,Ready To Cook & Eat,,MTR,,4.2
,Beauty & Hygiene,Bath & Hand Wash,,Freale,,4.5
,Cleaning & Household,Party & Festive Needs,,Origami,,4.1
,Cleaning & Household,Bins & Bathroom Ware,,DP,,
,Beauty & Hygiene,Skin Care,,Vaadi,,
,Beauty & Hygiene,Health & Medicine,,Jiva Ayurveda,,
,Beauty & Hygiene,Hair Care,,Loreal Paris,,4
,Gourmet & World Food,Cereals & Breakfast,,The Whole Truth,,5
,Fruits & Vegetables,Cuts & Sprouts,,Fresho,,
,Gourmet & World Food,Cereals & Breakfast,,SnackAmor,,
,Beauty & Hygiene,Fragrances & Deos,,Police,,
,Snacks & Branded Foods,Ready To Cook & Eat,,Rishta,,4.1
,"Foodgrains, Oil & Masala",Masalas & Spices,,Annapoorna,,4.5
,"Foodgrains, Oil & Masala",Masalas & Spices,,Keya,,3.9
,"Foodgrains, Oil & Masala",Masalas & Spices,,Tata Sampann,,4.5
,Baby Care,Baby Food & Formula,,Slurrp Farm,,3.7
,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",,Pro Nature,,4.1
,"Kitchen, Garden & Pets",Steel Utensils,,Tedemei,,
,Beauty & Hygiene,Men's Grooming,,Ponds,,3.9
,Baby Care,Diapers & Wipes,,Bella,,5
,Beverages,Coffee,,Jayanthi Coffee,,
,Baby Care,Diapers & Wipes,,Himalaya,,5
,Snacks & Branded Foods,Indian Mithai,,Sangam Sweets,,
,Cleaning & Household,Detergents & Dishwash,,Ariel ,,4.3
